"flu_season","age_group","florida","region3","region3_p_value","florida_p_value","rr_region3","rr_florida"
"2010-2011","00-04",56.5448021322155,61.1580902682735,1.6716127858558e-33,7.59478311110607e-27,0.71007668719071,0.594287971233434
"2010-2011","05-17",76.9576531260179,76.3441970289919,2.34062771988505e-36,9.03907382692239e-39,0.71007668719071,0.594287971233434
"2010-2011","18-44",59.704884616095,57.2025457560538,6.67281881646042e-37,4.05191294119682e-45,0.71007668719071,0.594287971233434
"2010-2011","45-64",46.7963383455767,40.4435028152553,6.67377340828147e-05,4.79447296275432e-07,0.71007668719071,0.594287971233434
"2010-2011","65+",22.1578109354945,16.5461623149609,0.356804942249077,0.173368174745919,0.71007668719071,0.594287971233434
"2010-2011","all",58.045648370947,59.2962880629327,3.6083362066957e-99,1.94982743449036e-96,0.71007668719071,0.594287971233434
"2011-2012","00-04",81.8326034722227,84.0785925933982,4.23638249789381e-56,1.60275599188498e-47,0.71007668719071,0.594287971233434
"2011-2012","05-17",76.8758980882765,78.1160547560816,5.23135483227103e-29,2.81495310814503e-27,0.71007668719071,0.594287971233434
"2011-2012","18-44",35.6963492382919,44.9550062694478,1.27341570051196e-18,1.80865508584122e-11,0.71007668719071,0.594287971233434
"2011-2012","45-64",-2.93437154664065,-7.65238907754322,0.568957545097144,0.839830889865907,0.71007668719071,0.594287971233434
"2011-2012","65+",16.189690952827,12.8285713618171,0.562191062929283,0.418808610883218,0.71007668719071,0.594287971233434
"2011-2012","all",52.6324673596463,58.5255722739282,2.17481778351393e-77,9.78463892793891e-58,0.71007668719071,0.594287971233434
"2012-2013","00-04",86.08284871425,84.8396496470216,4.64094681046511e-62,8.07312077180053e-71,0.71007668719071,0.594287971233434
"2012-2013","05-17",78.4417299876164,76.7417639231274,1.22653144675367e-40,1.04650459532974e-46,0.71007668719071,0.594287971233434
"2012-2013","18-44",36.1504015300421,42.0511703840876,2.79251267839098e-27,2.69691723695435e-20,0.71007668719071,0.594287971233434
"2012-2013","45-64",15.9788872932339,18.456592586768,0.0238118278039481,0.046206610592255,0.71007668719071,0.594287971233434
"2012-2013","65+",27.7565510929963,13.8514727296448,0.306365202544797,0.0162228488319255,0.71007668719071,0.594287971233434
"2012-2013","all",52.5061896052092,52.994716613252,8.85818785337194e-94,7.33447043643935e-96,0.71007668719071,0.594287971233434
"2013-2014","00-04",88.9872225874636,86.7816965572905,4.68894297248961e-54,3.684748756164e-69,0.71007668719071,0.594287971233434
"2013-2014","05-17",80.0557385920399,76.694242754456,1.05053911519225e-30,1.27280424227819e-39,0.71007668719071,0.594287971233434
"2013-2014","18-44",19.0320513652724,24.0435870837954,6.66233465312351e-09,2.8116716386945e-06,0.71007668719071,0.594287971233434
"2013-2014","45-64",-24.5800847172851,-20.7314435697965,0.0175172642672954,0.00341694241205141,0.71007668719071,0.594287971233434
"2013-2014","65+",2.52721726986695,-8.38540039268456,0.63090931399926,0.90836747744232,0.71007668719071,0.594287971233434
"2013-2014","all",39.7331618509736,37.8074422211109,1.41570085548917e-40,4.4474031364833e-49,0.71007668719071,0.594287971233434
"2014-2015","00-04",85.614513156367,79.0046788535091,1.46784889318738e-47,4.04059805665892e-83,0.71007668719071,0.594287971233434
"2014-2015","05-17",72.732286563875,62.024750494536,1.94447656520197e-24,3.25033410840712e-47,0.71007668719071,0.594287971233434
"2014-2015","18-44",18.2961450347584,18.0437345118091,5.37688399794734e-06,9.86074695598776e-07,0.71007668719071,0.594287971233434
"2014-2015","45-64",-30.8863044854848,-49.2164768507116,3.80468049302274e-09,2.70452610268254e-05,0.71007668719071,0.594287971233434
"2014-2015","65+",30.4551970114765,15.739037022053,0.16460611501294,0.00174042097984918,0.71007668719071,0.594287971233434
"2014-2015","all",40.5712028766566,28.992331280929,6.89689702791952e-28,6.35907787882461e-68,0.71007668719071,0.594287971233434
